Exp_0,,Exp_4,,Exp_10,,LLT_0,,LLT_4,,LLT_10,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
,,,,,,0.22362438995780276,0.8585611458926591,0.25541514106650265,0.36722328586587516,0.24677818810632912,0.03669858730500408
,,,,,,0.23457605144642163,0.8615539747945634,0.26890031666096187,0.382066507995522,0.25628821869731594,0.03723618805219786
,,,,,,0.24552788872838194,0.8643654201266554,0.28030463386596294,0.38040123407838744,0.26922254585602495,0.0495904245294192
,,,,,,0.2564788470436346,0.8680837833078093,0.2901079138245229,0.39452965212897695,0.290837404097889,0.059631732581104435
,,,,,,0.26742620159538544,0.8755205096701171,0.30173737020598007,0.40954611882209857,0.3009407626787415,0.07550560206636381
,,,,,,0.27837338035379466,0.8831386196022373,0.31268270313430313,0.4190687562372487,0.3122431193270874,0.08974529196074221
,,,,,,0.28931976804216697,0.8915729555985132,0.3235218568843293,0.42397618948717275,0.3348944555292921,0.10681694080522708
,,,,,,0.3002616730003297,0.9046325726250051,0.33457345688761986,0.43802333928264303,0.3597819583760298,0.11633957822037733
,,,,,,0.3112020837150893,0.919233949994902,0.34236840906156235,0.40998748550864195,0.36824605618503026,0.11715580428453287
,,,,,,0.3221429339132027,0.9333818684402682,0.34552457132410197,0.4415806165791779,0.38368334847333685,0.11579542751094007
,,,,,,0.3330904642582951,0.9406372112327636,0.3495347359656744,0.4140444313534457,0.39264664914567327,0.11530310067859206
,,,,,,0.34404300471362165,0.9427231222856061,0.3564746703447589,0.4461855999242005,0.40758939709419495,0.11044461220147461
,,,,,,0.35499545727227744,0.9448997251233546,0.3669293816361471,0.4481626808351553,0.4160590616923445,0.10551702522157136
,,,,,,0.36594887669431186,0.9460787183271351,0.3953153301937582,0.4443717642260765,0.4305096845523054,0.09466424162779719
,,,,,,0.37690502091314027,0.9444462661988235,0.4062735839326852,0.4405627092600164,0.43897984723158945,0.08922273453342555
,,,,,,0.38786151671865166,0.9424510469308873,0.41723623250515096,0.4322190650486467,0.4489664823820967,0.06039181611174671
,,,,,,0.3988179246274923,0.9405465194478574,0.42819870528427517,0.42405680440708937,0.4519657892686372,0.04832073954073257
,,,,,,0.4097784636798595,0.9343794780742363,0.43517362839810647,0.4200965964661856,0.46095742531629835,0.018591972448482652
,,,,,,0.4207391785255682,0.9280310531308027,0.45025241067554267,0.3776316797136092,0.4651186763823779,0.00642113491407148
,,,,,,0.43170323344476635,0.9182363403609339,0.45615077683065974,0.3541712264881256,0.47294846493683784,-0.02330763217817844
,,,,,,0.4411763191117669,0.9055168175278404,0.46214766636404914,0.3318081438600069,0.481604180418018,-0.04894619977115933
,,,,,,0.44577004084234084,0.8830479278173311,0.4675871860170314,0.31368490217625267,0.49041662738274705,-0.06504399159200847
,,,,,,0.4515873941009485,0.8591052966020962,0.4831269169919784,0.2637137286929405,0.505379541338878,-0.09070976672046083
,,,,,,0.4566796349843264,0.8360333065219607,0.49409923419822943,0.2453939881418894,0.5160651019350575,-0.10673630071031237
,,,,,,0.4616799623190744,0.8143851774648525,0.5050727819578714,0.22580456260215187,0.5273145950142657,-0.11746384326778792
,,,,,,0.46668057971283583,0.7924377655175538,0.5143771426405959,0.21591915804737694,0.5364798973040451,-0.12087385438026055
,,,,,,0.4716811971065974,0.7704903535702552,0.5369739117524719,0.1914323761227048,0.5492314540788027,-0.12544472033953302
,,,,,,0.47668181450035896,0.7485429416229565,0.5479330444581065,0.18671640330758277,0.5576993900424271,-0.12858870221628083
,,,,,,0.48287322083111905,0.7309850120651176,0.5588924408537537,0.18172835513774221,0.5731350415928791,-0.1282561656716248
,,,,,,0.4936472695171017,0.7117311461295329,0.5698477061058743,0.18100282085849262,0.5820974507418406,-0.12782861868563855
,,,,,,0.504623014693513,0.6898744259671404,0.5773172091367142,0.18050401604150856,0.5970337068933921,-0.12598887104897005
,,,,,,0.5155974414198627,0.6693780825783409,0.6037063826553166,0.18190973870755456,0.6054953142967207,-0.12260304441247216
,,,,,,0.5267979760534488,0.6602354869285119,0.6146564620038614,0.18653501973777042,0.6209132546680114,-0.10399611320921842
,,,,,,0.5365889353215589,0.6528721777254138,0.6256063404457302,0.19136759627634325,0.6293741003001933,-0.09982429110353341
,,,,,,0.5484851234472476,0.6446192252989502,0.6365556412809054,0.19679614740144236,0.6438099418700187,-0.09542573953558287
