# Pazy Wing (simplified : constant stiffness properties)                          
# Operating point sequence...
# i     t     RX pos[ 1]    RZ pos[ 1]    RX pos[ 2]    RZ pos[ 2]    RZ pos[ 3]    Theta[ 3]    
 20  20.00     -0.499601E-01  0.549262      0.500388E-01  0.549281      0.549271     -0.108960E-01
 21  21.00     -0.499503E-01  0.549087      0.500483E-01  0.549110      0.549098     -0.134034E-01
 22  22.00     -0.499388E-01  0.548881      0.500595E-01  0.548909      0.548895     -0.163394E-01
 23  23.00     -0.499254E-01  0.548640      0.500725E-01  0.548675      0.548658     -0.197554E-01
 24  24.00     -0.499099E-01  0.548361      0.500876E-01  0.548403      0.548382     -0.237067E-01
 25  25.00     -0.498921E-01  0.548039      0.501049E-01  0.548088      0.548064     -0.282530E-01
 26  26.00     -0.498717E-01  0.547669      0.501248E-01  0.547727      0.547698     -0.334586E-01
 27  27.00     -0.498485E-01  0.547245      0.501474E-01  0.547314      0.547280     -0.393927E-01
 28  28.00     -0.498222E-01  0.546763      0.501729E-01  0.546843      0.546803     -0.461291E-01
 29  29.00     -0.497926E-01  0.546215      0.502018E-01  0.546309      0.546262     -0.537475E-01
 30  30.00     -0.497593E-01  0.545596      0.502342E-01  0.545705      0.545650     -0.623330E-01
 31  31.00     -0.497221E-01  0.544898      0.502704E-01  0.545024      0.544961     -0.719766E-01
 32  32.00     -0.496807E-01  0.544114      0.503107E-01  0.544258      0.544186     -0.827757E-01
 33  33.00     -0.496347E-01  0.543234      0.503555E-01  0.543400      0.543317     -0.948344E-01
 34  34.00     -0.495837E-01  0.542251      0.504051E-01  0.542440      0.542346     -0.108264    
 35  35.00     -0.495275E-01  0.541155      0.504599E-01  0.541370      0.541263     -0.123182    
 36  36.00     -0.494657E-01  0.539935      0.505201E-01  0.540179      0.540057     -0.139716    
 37  37.00     -0.493978E-01  0.538580      0.505862E-01  0.538856      0.538718     -0.158000    
 38  38.00     -0.493235E-01  0.537078      0.506586E-01  0.537389      0.537233     -0.178178    
 39  39.00     -0.492424E-01  0.535416      0.507376E-01  0.535765      0.535590     -0.200404    
 40  40.00     -0.491540E-01  0.533579      0.508236E-01  0.533972      0.533775     -0.224842    
 41  41.00     -0.490580E-01  0.531553      0.509171E-01  0.531992      0.531773     -0.251669    
 42  42.00     -0.489540E-01  0.529321      0.510185E-01  0.529811      0.529566     -0.281073    
 43  43.00     -0.488413E-01  0.526864      0.511282E-01  0.527411      0.527138     -0.313258    
 44  44.00     -0.487196E-01  0.524164      0.512468E-01  0.524772      0.524468     -0.348444    
 45  45.00     -0.485884E-01  0.521197      0.513746E-01  0.521872      0.521535     -0.386873    
 46  46.00     -0.484470E-01  0.517940      0.515123E-01  0.518689      0.518314     -0.428808    
 47  47.00     -0.482950E-01  0.514366      0.516604E-01  0.515194      0.514780     -0.474541    
 48  48.00     -0.481316E-01  0.510445      0.518195E-01  0.511360      0.510902     -0.524399    
 49  49.00     -0.479562E-01  0.506141      0.519904E-01  0.507151      0.506646     -0.578756    
 50  50.00     -0.477678E-01  0.501414      0.521739E-01  0.502527      0.501971     -0.638040    
 51  51.00     -0.475654E-01  0.496217      0.523711E-01  0.497443      0.496830     -0.702757    
 52  52.00     -0.473477E-01  0.490493      0.525831E-01  0.491843      0.491168     -0.773517    
 53  53.00     -0.471131E-01  0.484171      0.528116E-01  0.485656      0.484914     -0.851070    
 54  54.00     -0.468594E-01  0.477162      0.530587E-01  0.478796      0.477979     -0.936383    
 55  55.00     -0.465837E-01  0.469348      0.533272E-01  0.471147      0.470247      -1.03073    
 56  56.00     -0.462815E-01  0.460566      0.536215E-01  0.462548      0.461557      -1.13587    
 57  57.00     -0.459464E-01  0.450577      0.539477E-01  0.452766      0.451671      -1.25442    
 58  58.00     -0.455678E-01  0.439003      0.543163E-01  0.441430      0.440217      -1.39051    
 59  59.00     -0.451263E-01  0.425178      0.547460E-01  0.427886      0.426532      -1.55149    
 60  60.00     -0.445807E-01  0.407700      0.552770E-01  0.410759      0.409229      -1.75281    
 61  61.00     -0.438158E-01  0.382694      0.560212E-01  0.386249      0.384472      -2.03703    
 62  62.00     -0.425084E-01  0.339516      0.572932E-01  0.343909      0.341713      -2.51758    
 63  63.00     -0.409628E-01  0.290572      0.587977E-01  0.295889      0.293230      -3.04766    
 64  64.00     -0.393269E-01  0.245614      0.603923E-01  0.251769      0.248691      -3.52919    
