 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     WING                                    
     # Chordwise = 20   # Spanwise = 40     First strip =  1
     Surface area =    0.100000       Ave. chord =    0.200000
     CLsurf  =   0.20607     Clsurf  =  -0.04516
     CYsurf  =   0.00000     Cmsurf  =  -0.02284
     CDsurf  =   0.00547     Cnsurf  =  -0.00340
     CDisurf =   0.00547     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.41213     CDsurf  =   0.01095
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    72  -0.4463   0.2000   0.0024   0.0536   0.0746   0.2684   0.2684   0.0105   0.0000   0.0110   0.0560    0.209
    73  -0.4579   0.2000   0.0022   0.0483   0.0766   0.2417   0.2417   0.0099   0.0000   0.0111   0.0492    0.204
    74  -0.4681   0.2000   0.0019   0.0426   0.0784   0.2132   0.2132   0.0092   0.0000   0.0109   0.0424    0.199
    75  -0.4770   0.2000   0.0016   0.0366   0.0800   0.1833   0.1833   0.0083   0.0000   0.0103   0.0355    0.194
    76  -0.4845   0.2000   0.0014   0.0304   0.0815   0.1520   0.1520   0.0073   0.0000   0.0093   0.0287    0.189
    77  -0.4906   0.2000   0.0011   0.0239   0.0827   0.1195   0.1195   0.0062   0.0000   0.0079   0.0220    0.184
    78  -0.4952   0.2000   0.0008   0.0172   0.0837   0.0860   0.0860   0.0048   0.0000   0.0060   0.0155    0.180
    79  -0.4983   0.2000   0.0005   0.0104   0.0845   0.0519   0.0519   0.0032   0.0000   0.0038   0.0092    0.177
    80  -0.4998   0.2000   0.0002   0.0035   0.0850   0.0173   0.0173   0.0012   0.0000   0.0013   0.0030    0.175
 ---------------------------------------------------------------
