Exp,,Exp_Steady,
X,Y,X,Y
-9.405891095086986,-1.502538705410978,2.8020143436912335,0.19065939238339702
-9.183520734232815,0.701354689384214,4.091476009289842,0.42837260198259797
-8.334458002707006,-1.44500476523904,3.562968707716749,0.32781343602909674
-8.112271093488705,0.744290465631928,5.30440103832936,0.587754803675856
-7.263046492872423,-1.389188256117011,6.207515764576769,0.6678647839109964
-7.041086200380782,0.7820739487299169,6.9505842550705665,0.7372328974112103
-6.19162419176514,-1.332513031470028,7.949151639147274,0.8056886256661602
-5.288449394099715,0.8270951769668065,7.510173457059743,0.7292629439452285
-5.120245055748651,-1.2792726689228617,9.267415725546158,0.8428555950539258
-4.217231356368504,0.8675161434628693,8.727008157774428,0.7387088147197254
-4.048887502277559,-1.2277497374256043,10.382475360141214,0.7970728465657864
-3.229545477372806,0.8999633229414994,10.95175851976785,0.7306123540558711
-2.9775731138972574,-1.1796616680281646,11.899754521722656,0.7029831820404664
-2.0750072523340855,0.9314904500719643,12.956611244201127,0.673072122927707
-1.9062308480624885,-1.1293552501912583,14.026810091683743,0.686556158504168
-1.0263736980463918,0.9622005392624771,15.183177739343499,0.6960056072600196
-0.9023142130626596,-1.0820952279071658,16.294854710008764,0.7286069806969988
0.06727935115470984,1.000438150763086,17.24404981077938,0.7410702824133497
-0.0002907809485748203,-1.0569062391751745,18.801813081933595,0.7702580231065461
1.1385582182623821,1.0456996148908853,18.411652027626985,0.7056482670089852
1.5020838216445327,-1.0092066363247367,20.032987564963847,0.8142757809157031
2.209856419733633,1.092499611000894,21.167612284506205,0.8103085151904148
2.5732201540253143,-0.975287373089043,22.72052066099353,0.840448714520039
3.281197786295678,1.14273446921072,23.523918728224444,0.869534124946512
3.644361882042446,-0.9409387520908714,24.911508390578113,0.911981506739409
4.352598504857561,1.1976922628077946,24.448284579328764,0.842613393239195
4.71543886242339,-0.9117424242424246,25.979618932527664,0.9202794418295053
5.424063971055638,1.2578023495545954,26.88871351407321,0.9690831074977413
5.7865967773495655,-0.876105729956822,27.96354921463795,0.9531300813008121
6.495556415435459,1.320059225113782,28.132975433380516,1.0094904435886458
6.85774390100304,-0.8413277511961725,29.21986189804604,1.0057908108686342
7.567108211815118,1.3870390360602163,30.84803266605016,1.0436005324965523
7.796374195923391,-0.7893754619364381,31.994258270955484,1.0283821851376405
8.63867619510382,1.455306920294083,33.21175514214839,1.0905202717158744
8.854139010916903,-0.7632745990993737,34.688858847680365,1.155901440593353
9.660328247254569,-0.7272378524223848,35.727410032876406,1.178728961631721
9.710233387119828,1.5227160890029947,36.899948357710684,1.213363821138211
10.65590699156921,-0.6814471878143262,38.00242362513413,1.223754278990158
10.818312967128136,1.5917890190415056,39.13041346940297,1.2450749587383085
11.72724095840141,-0.6318011631073261,40.644114861601864,1.2720069355298809
11.853320792970102,1.6553876376084329,41.555912926740106,1.2777531735843666
12.79883484074459,-0.5614723616135695,42.94792703338183,1.2849950078448145
12.87615215137221,1.7182456140350868,44.164662814096786,1.2865693196405643
13.870511815887546,-0.48453145057766456,,
14.775376218535428,1.8095270743377285,,
14.942419724266244,-0.38921402730773824,,
15.785741498716646,1.8485986307231488,,
15.965773919830575,-0.28475128369704805,,
16.91751938802461,1.867061014509666,,
16.89185834106359,-0.174916797413589,,
17.647574412989904,-0.06731914580659026,,
18.377600166628014,1.8687784455595744,,
18.573061439857874,-0.005022316122285098,,
19.448072835737854,1.8498867040105802,,
19.719905765809138,0.24415000916926433,,
20.51825414048485,1.8078096432878197,,
20.35409460238261,0.36323545143346125,,
20.890820672133508,0.47233525887890426,,
21.663792101513252,1.737872034422098,,
21.378646629216433,0.5630156183140769,,
21.866626901498947,0.6659756097560972,,
22.657802008890137,1.6588224997082501,,
