Exp_4,,Exp_8,,LLT_4,,LLT_8,
X,Y,X,Y,X,Y,X,Y
,,,,0.17260968191230375,0.36879519062826194,-0.2047549478965207,0.6497655157343774
,,,,0.19451706627260656,0.36073079999934854,-0.18283292316156508,0.6437039283579672
,,,,0.2197807958779101,0.3565122311413278,-0.1609330951236636,0.634605832824536
,,,,0.23840267551572603,0.3542930022213764,-0.13901295946930836,0.6282858192219963
,,,,0.26032753387158225,0.3486190541841604,-0.11706826576714824,0.6253253465591397
,,,,0.28127592646511146,0.34595525218418766,-0.09512121071423785,0.6226879066789449
,,,,0.33814376986406547,0.3398084767181041,-0.073162348907575,0.6216656307120594
,,,,0.36009649215877704,0.3379463155162977,-0.05116995592025586,0.6252304202589716
,,,,0.3730726340296757,0.33740391324891894,-0.03012158373595253,0.6362438262769003
,,,,0.4239699909641719,0.3340385633863898,-0.013213037233311464,0.6521263942146792
,,,,0.4459264914200842,0.3326932546368424,-0.0009369751394738834,0.6675690748918877
,,,,0.45890239715590764,0.3321185490911973,0.012158068238061537,0.6832923987324291
,,,,0.5078025708526868,0.32871985695607175,0.022370199204817975,0.6992285514909264
,,,,0.5297581267682989,0.32724533509345965,0.041363540305464186,0.7174717701698458
,,,,0.5437310892449934,0.32647732937538265,0.0633951317152408,0.7263989039089443
,,,,0.5936297364930934,0.3230791567374224,0.08537146751745706,0.7277670705337562
,,,,0.6155852924087055,0.32160463487480995,0.10732844024351929,0.7264863683407411
,,,,0.6285597813340789,0.320836109659568,0.1292726616755293,0.7234612891213521
,,,,0.6774561768696568,0.3169205650721836,0.1512050763537871,0.7188210459886539
,,,,0.6994107882449694,0.3153168300965067,0.18685432959959103,0.7011401567537242
,,,,0.7123848049001922,0.3144836983247322,0.20893849648382679,0.6944945050115281
,,,,0.7632710634861615,0.3096000943836924,0.23087705067403563,0.6906941471137508
,,,,0.7852233135107227,0.3076733266253536,0.2528160771343946,0.6869583957725058
,,,,0.7981963856256458,0.3067109817405145,0.2747626599171549,0.6842563493357786
,,,,0.8470762517059713,0.30053420767449734,0.2966993250267633,0.6801975652118718
,,,,0.8690237790290312,0.29796137435083503,0.31864165737817296,0.6769140597663533
,,,,0.8819954343335044,0.2968052097963986,0.34058965697138355,0.6744058329992233
,,,,0.9308573541481262,0.2881733865821515,0.36253765656459436,0.6718976062320933
,,,,0.9527911856368336,0.28372696311905055,0.38448896204885563,0.6698416253606898
,,,,0.9647596446884845,0.2819242135021255,0.4064393229928167,0.6676564313762214
,,,,1.0005488433865144,0.26062275174438865,0.4283887393964776,0.6653420242786885
,,,,,,0.4503391003404389,0.6631568302942203
,,,,,,0.4722866276634994,0.6605839969705579
,,,,,,0.49423698860746046,0.6583988029860897
,,,,,,0.5161864050111213,0.6560843958885567
,,,,,,0.538133932334182,0.6535115625648942
,,,,,,0.5600805151169423,0.6508095161281672
,,,,,,0.582027570169853,0.6481720762479724
,,,,,,0.6039746252227634,0.6455346363677776
,,,,,,0.6259197911950736,0.6426387702614533
,,,,,,0.6478640126270834,0.6396136910420644
,,,,,,0.6698054004381928,0.6362009724834812
,,,,,,0.6917463159791517,0.6327236473683657
,,,,,,0.7136867592499614,0.6291817156967179
,,,,,,0.7356272025207702,0.62563978402507
,,,,,,0.7575657567109795,0.6218394261272926
,,,,,,0.7795024218205879,0.6177806420033858
,,,,,,0.8014381423898966,0.6135926447664142
,,,,,,0.8233710293383039,0.6090170081902484
,,,,,,0.845299193585211,0.6037953060487591
,,,,,,0.8672273578321177,0.5985736039072697
,,,,,,0.8910434515208954,0.5955131575570158
,,,,,,0.9112354188539868,0.5861220990749374
,,,,,,0.9329797362026324,0.5785152516386007
,,,,,,0.9548805087808339,0.5695463692182341
,,,,,,0.9767600292022818,0.5576701917539111
,,,,,,0.9943589047900636,0.5407121159192791
,,,,,,1.0015938407950655,0.5249923192995689
,,,,,,1.0054144538348357,0.51646627410405
