X_D_0125,,X_D_05,,X_D_1,,X_D_15,
X,Y,X,Y,X,Y,X,Y
0.10660387749613426,-0.7195828191639038,0.16341701969134975,-0.17208586481821442,0.20960886441993992,1.5363003615422954,0.22192555687808463,2.6852936719274325
0.11379071527149887,-0.9234359197988447,0.1739223523170852,-0.09292443825144758,0.21723513903913333,1.7432292004936052,0.2319413803932721,2.8891125976921934
0.12050083597915645,-1.139421099348354,0.18443045085274018,-0.043339808423912274,0.22486186108493128,1.945373557619451,0.24195711442313877,3.093888419822047
0.12721159586767772,-1.3622412529342434,0.1935019540800204,0.03875755017211446,0.23248891870068272,2.1439295533762,0.2519747845899489,3.277960484234434
0.13475965072866958,-1.596339113680152,0.1996905127905701,0.29018207010024,0.24059282122031417,2.3532506332402434,0.26247352784205263,3.4275842795034883
0.1416910718308793,-1.6238498841765683,0.20444719450966659,0.5236647831828769,0.2501284583683882,2.582035855076061,0.27297243379473984,3.575468263199639
0.14919571033170087,-1.3936821335015743,0.20920423417004658,0.7533199108051392,0.2606232154561961,2.7742850338810605,0.28347630211522384,3.670287993922468
0.15586581831728769,-1.1817979383738937,0.21396091588914307,0.9868026238877725,0.271118297945171,2.9630545895402705,0.2939824482438768,3.7407503626247554
0.16253579846670163,-0.9685467484389356,0.21871795554952328,1.2164577515100348,0.28161818010135936,3.1004997037990485,0.3044895705760308,3.8007738618896667
0.16824805557710576,-0.7336970405490213,0.2239521309410762,1.4537680500530428,0.2921221297721351,3.194449528735433,0.3150025501291908,3.798164144530322
0.17252737785172706,-0.5054772574743964,0.22918773809776388,1.6757680067545628,0.3026272183469952,3.276220672661541,0.3255157737332261,3.7929447098116356
0.17680661064102743,-0.27630057803468233,0.2344237031957353,1.8939403779957154,0.31313857089432034,3.291009071031155,0.3360298921904706,3.778156311442018
0.18061015437850997,-0.07024889408470614,0.23965877344049752,2.1216817128877956,0.32365130639660505,3.291009071031155,0.34654571900384185,3.745099891556997
0.184412683949022,0.14664761533632387,0.24489587201920066,2.327733396837772,0.3341646927012238,3.284049824739572,0.3570612204160461,3.7155230948177653
0.18869178251034097,0.3772596393236789,0.2520433628858942,2.5446299062587983,0.34468019411342804,3.2544730280003407,0.36757786073233484,3.673767617068261
0.19297213386615292,0.5944751141997351,0.2630013773451025,2.8929401831525645,0.355195776875924,3.224026325474661,0.3780945823989154,3.6311422335323122
0.19677305270088835,0.828595758192435,0.2725388123346241,3.102500487107882,0.3657111155875448,3.196189340308326,0.3886117108169546,3.584167321064122
0.20000102685418025,1.0576129549046378,0.2825625756382865,3.221416608115316,0.37622629159858206,3.1700921667148876,0.39912924598645255,3.5328428796636935
0.20365976842818573,1.2791344634236133,0.2930702674224827,3.2753507668750927,0.38674130490903574,3.145734804694346,0.40964686250624244,3.4806485324768133
0.2072152439418437,1.5829490593405673,0.3016665527517181,3.329284925634866,0.3972547725639463,3.137905652616311,0.4201627706699053,3.446722206805344
0.21101732608575113,1.8046300505870576,0.3160112123966006,3.2318554775526955,0.407767508066231,3.137905652616311,0.4306772145283168,3.4284541852899366
0.2145450504969078,2.0402088223741828,0.3265285035152234,3.183140753511605,0.41828170787376723,3.1222473484602524,0.4411916583867284,3.4101861637745294
0.21813946277818258,2.292647196784369,0.33704734028938926,3.117897819528011,0.42879704658538803,3.094410363293914,0.4517063462960151,3.3893084248997773
0.22528383521702572,2.5428900946859017,0.34756617706355536,3.05265488554441,0.43931238529700883,3.066573378127579,0.4622211155555936,3.367560780238577
0.23578542572934064,2.662067187429276,0.35808501383772134,2.9874119515608157,0.4498281307600884,3.0343868640290026,0.4727356407642969,3.3484228529367215
0.2462879924451566,2.7708054107352673,0.368603362510137,2.9273884522959044,0.4603435508220008,3.0056799730762194,0.4832497592215414,3.3336344545671075
0.2548874620572405,2.7906889715683683,0.37912016552700917,2.883893162973507,0.47085823873128757,2.984802234201471,0.493763552277619,3.322325679343283
0.26826924802749824,2.7699355049488226,0.38963664314271435,2.8438774967968996,0.4813719504370733,2.974363364764095,0.5042782401869057,3.301447940468531
0.27878108867657386,2.7795044685997503,0.40014962269587445,2.8412677794375547,0.4918854994422756,2.9656643068996154,0.5147930094464841,3.2797002958073342
0.2892886177601865,2.83517843893242,0.41066235819815916,2.8412677794375547,0.5023982349445604,2.9656643068996154,0.5253077787060627,3.257952651146134
0.2997960654935076,2.8917223150515383,0.4211743615478181,2.8490969315155894,0.5129099128930523,2.976973082123436,0.5358222225644742,3.239684629630723
0.31030766209170785,2.9039009960618074,0.4316860394963102,2.86040570673941,0.5234220789432948,2.9830624226285742,0.5463365850725939,3.222286513901768
0.3208214551477853,2.8925922208379866,0.4421991003997619,2.856926083593617,0.5339364414514145,2.9656643068996154,0.5568514356824641,3.199668963454119
0.33133541090444635,2.8795436340412657,0.45271492721313306,2.823869663708596,0.5444503158577838,2.9534856258893427,0.5673671811455436,3.1674824493555427
0.34184814640673106,2.8795436340412657,0.46323075402650443,2.790813243823571,0.5549653291682375,2.9291282638687974,0.5778828452583313,3.136165841043418
0.35236088190901577,2.8795436340412657,0.4737459300375417,2.7647160702301328,0.5654826202868604,2.880413539827714,0.588398265320244,3.107458950090635
0.3628736987615923,2.8786737282548174,0.48425947904274397,2.7560170123656533,0.5759998300551914,2.8325687215730753,0.5989140107833233,3.0752724359920585
0.3695635400036636,2.8795436340412657,0.49477302804794615,2.747317954501174,0.5865144366141863,2.8125608884847715,0.6094295935458194,3.044825733466382
0.3848509681796382,2.9204292060043215,0.5052826722391444,2.780374374386195,0.597027172116471,2.8125608884847715,0.6199452576586071,3.013509125154254
0.3953633782807559,2.923908829150111,0.5157908521250911,2.829089098427282,0.6075399076187558,2.8125608884847715,0.6304609217713948,2.982192516842126
0.4058748935286644,2.936957415946832,0.52630098441804,2.856926083593617,0.6180526431210405,2.8125608884847715,0.640976179132724,2.9552254374622393
0.41638592067482244,2.9552254374622393,0.5368162417793689,2.829959004213734,0.6285653786233254,2.8125608884847715,0.6514913551437611,2.9291282638687974
0.4268961343180629,2.982192516842126,0.5473319872424485,2.7977724901151575,0.6390795784308616,2.796902584328709,0.6620066938553819,2.901291278702466
0.4374069987636375,3.0022003499304297,0.5578489529599042,2.75253738921986,0.6495947544418987,2.7708054107352673,0.6725217071658358,2.8769339166819208
0.4479212799214655,2.985672139987919,0.5683670575814443,2.6951236073142937,0.6601100118032279,2.7438383313553842,0.6830370458774564,2.8490969315155894
0.4584368626839614,2.9552254374622393,0.578884755451526,2.6420593543409687,0.670626164017766,2.7073022883245663,0.6935521405382019,2.823869663708596
0.46895203869499874,2.9291282638687974,0.5893985485076034,2.630750579117148,0.6811426416334714,2.6672866221479623,0.7040669097977805,2.802122019047399
0.47946501824815874,2.926518546509456,0.5999112840098881,2.630750579117148,0.6916592005994684,2.6264010501849064,0.7145815977070673,2.7812442801726434
0.4899785672533609,2.9178194886449766,0.6104240195121728,2.630750579117148,0.7021764917180913,2.5776863261438194,0.7250958788648951,2.7647160702301328
0.5004913027556457,2.9178194886449766,0.6209347212571639,2.6524982237783483,0.7126936201361305,2.530711413675629,0.7356097532712644,2.75253738921986
0.5114801001652522,2.936957415946832,0.6314459924541971,2.6681565279344106,0.7232102604524191,2.488955935926125,0.7461240344290925,2.7360091792773495
0.5334630641037206,2.9178194886449766,0.6419605176629004,2.649018600632555,0.7337263313166655,2.4532897986817623,0.7566388036886711,2.714261534616149
0.5530591291319487,2.873454293536131,0.6524766698774387,2.612482557601737,0.7442423208306204,2.4184935672238446,0.7671535729482495,2.6925138899549523
0.5635756880979457,2.8325687215730753,0.6629924153405182,2.5802960435031608,0.7547568460393237,2.399355639921989,0.7776676100552022,2.678595397371783
0.5740928165159849,2.785593809104885,0.6735097064591409,2.5315813194620773,0.7652714525983189,2.3793478068336817,0.788180345557487,2.678595397371783
0.584608399278481,2.755147106579205,0.6840267535268885,2.4854763127803388,0.7757860591573138,2.359339973745378,0.7986934878112306,2.674245868439545
0.5951217042328081,2.7490577660740705,0.694543800594636,2.439371306098593,0.7863005030157251,2.3410719522299708,0.8092047590082638,2.6899041725956074
