alpha,CL,CD,Cdp,CM,Top_Xtr,Bot_Xtr
20.200,1.5951,0.12447,0.12104,-0.0708,0.0020,1.0000
20.400,1.5589,0.13465,0.13140,-0.0763,0.0020,1.0000
20.600,1.5151,0.14655,0.14349,-0.0831,0.0020,1.0000
20.800,1.4612,0.16123,0.15839,-0.0920,0.0020,1.0000
21.000,1.4100,0.17620,0.17356,-0.1016,0.0020,1.0000
21.200,1.3381,0.19769,0.19532,-0.1160,0.0020,1.0000
21.400,1.3241,0.20505,0.20275,-0.1211,0.0020,1.0000
21.600,1.2760,0.22318,0.22107,-0.1335,0.0020,1.0000
21.800,1.2765,0.22698,0.22492,-0.1362,0.0020,1.0000
22.000,1.2775,0.23060,0.22856,-0.1389,0.0020,1.0000
